step,epoch,loss,grad_norm,learning_rate,mean_token_accuracy,entropy,num_tokens
5,0.04,2.3489,3.828125,3.3333333333333335e-05,0.7072018086910248,0.4063489297832348,21077.0
10,0.08,1.8846,0.89453125,7.500000000000001e-05,0.6887132041156292,0.57377701454825,39807.0
15,0.12,1.6217,0.63671875,9.99925101063302e-05,0.7071316741406918,0.8597394934971817,60274.0
20,0.16,1.3759,0.5859375,9.990827457067343e-05,0.7337470777332783,1.094891108723823,78748.0
25,0.2,1.2676,0.484375,9.973059936633306e-05,0.7686071425676346,0.9912690616853069,100592.0
30,0.24,1.2651,0.67578125,9.945981714180021e-05,0.7982029438018798,0.8067969577445183,120290.0
35,0.28,1.414,0.69140625,9.909643486313533e-05,0.7203786931931973,1.0410463094551232,141395.0
40,0.32,1.1411,0.78125,9.864113286481237e-05,0.7642777793109417,0.895678967735148,161368.0
45,0.36,1.2459,0.86328125,9.809476357597738e-05,0.7229470863938332,1.0968565089744515,179079.0
50,0.4,1.125,0.9296875,9.745834992450689e-05,0.7498860843479633,1.0112469727988356,194329.0
55,0.44,1.3167,0.6328125,9.673308342185365e-05,0.7527396254241466,1.0076737752649934,210950.0
60,0.48,1.2831,0.640625,9.592032193226564e-05,0.7690999448299408,0.9110136158182286,229035.0
65,0.52,1.3919,0.56640625,9.502158713055444e-05,0.7360560104250908,1.0481125530786812,247709.0
70,0.56,1.2117,0.59375,9.403856165317321e-05,0.7789626963436603,0.8886739831243176,269336.0
75,0.6,1.2492,0.78515625,9.297308594793756e-05,0.7529201813042163,0.9850888512912206,287606.0
80,0.64,1.0596,0.65234375,9.182715482828763e-05,0.8146506004035473,0.7218495601147878,307379.0
85,0.68,1.3513,0.5390625,9.060291373854251e-05,0.7672121480107308,0.8577457049454097,327603.0
90,0.72,1.03,0.57421875,8.930265473713938e-05,0.8149624951183796,0.7170231473457533,348810.0
95,0.76,1.0124,0.81640625,8.792881220537751e-05,0.7834577277302742,0.8728355699218809,368800.0
100,0.8,1.3247,0.7890625,8.64839582897015e-05,0.7642792597413063,0.9474182534991996,388556.0
105,0.84,1.3133,0.80859375,8.497079808605659e-05,0.7165484309196473,0.9796661412081449,407044.0
110,0.88,1.2164,0.640625,8.339216457533244e-05,0.7277320958673954,0.9803197781409836,422427.0
115,0.92,1.1169,0.7265625,8.175101331937693e-05,0.7525555856525898,0.9176912015362177,441511.0
120,0.96,1.4317,0.75,8.005041692751055e-05,0.7169403851032257,1.1383137824421283,457785.0
125,1.0,1.1895,0.75390625,7.829355930390125e-05,0.7824044212698936,0.8719563689286588,475525.0
130,1.04,1.0662,0.78125,7.648372968656993e-05,0.7632070742547512,0.9465569529711502,492983.0
135,1.08,1.0822,0.796875,7.462431648918689e-05,0.7804267413914203,0.8507523696840508,509583.0
140,1.12,1.1425,0.62109375,7.271880095718895e-05,0.7596190117299557,0.8682513259758707,530079.0
145,1.16,1.0892,0.98046875,7.077075065009433e-05,0.7905601739883423,0.7915272853279021,550866.0
150,1.2,1.3107,0.671875,6.878381276221777e-05,0.7683376342058181,0.9631574897648534,569445.0
155,1.24,0.9164,0.890625,6.676170729429133e-05,0.7965639442205429,0.7311390120303258,586370.0
160,1.28,1.0535,0.90625,6.470822008877482e-05,0.8052960000932217,0.6855105405586073,608094.0
165,1.32,0.9876,0.77734375,6.262719574189564e-05,0.8049372747540474,0.689759896074247,627705.0
170,1.3599999999999999,0.994,0.765625,6.052253040568804e-05,0.813064319640398,0.7054650448830216,647015.0
175,1.4,0.8795,0.890625,5.8398164493508244e-05,0.8010928280651569,0.7114983396109892,664499.0
180,1.44,1.131,0.9921875,5.62580753026823e-05,0.7754278659820557,0.825563759022043,684034.0
185,1.48,0.9147,0.67578125,5.410626956809863e-05,0.801748552173376,0.7487402648825082,706194.0
190,1.52,0.8005,0.82421875,5.1946775960686887e-05,0.8224494598805905,0.6091605814406649,725206.0
195,1.56,1.062,0.63671875,4.9783637544827404e-05,0.7769276387989521,0.8554351341983419,742462.0
200,1.6,1.0774,0.76171875,4.762090420881289e-05,0.7677965976297856,0.8115299842131207,760174.0
205,1.6400000000000001,1.1185,1.0859375,4.546262508253429e-05,0.7878235511481761,0.7876964683819097,777737.0
210,1.6800000000000002,1.0316,0.82421875,4.3312840956586365e-05,0.7855806052684784,0.7484970226912993,796086.0
215,1.72,1.0282,1.046875,4.1175576716986475e-05,0.7798999436199665,0.8129600859654602,816228.0
220,1.76,1.1331,0.97265625,3.9054833809670264e-05,0.7673897340893745,0.8707473875023425,834440.0
225,1.8,1.1591,0.98828125,3.695458274887268e-05,0.7798291623592377,0.7892948905471713,852686.0
230,1.8399999999999999,1.1647,1.09375,3.487875568341995e-05,0.7684797316789627,0.8709217764626374,871297.0
235,1.88,0.8977,0.6640625,3.283123903485059e-05,0.810700549185276,0.7037831038469449,892297.0
240,1.92,0.7578,1.0078125,3.0815866221148096e-05,0.8640747934579849,0.5389552569657099,915024.0
245,1.96,1.0759,1.015625,2.8836410479708627e-05,0.806197551637888,0.7119849409849849,933680.0
250,2.0,1.0577,1.0234375,2.689657780298019e-05,0.7593772396445274,0.8765645028237486,951050.0
255,2.04,0.9111,0.96875,2.500000000000001e-05,0.8132404968142509,0.7308641446114053,970387.0
260,2.08,1.0825,1.0234375,2.3150227896819783e-05,0.788111387193203,0.7878989169199485,990654.0
265,2.12,0.8854,1.1640625,2.1350724688549906e-05,0.8066056966781616,0.7237967123641283,1009828.0
270,2.16,1.0082,1.046875,1.960485945546859e-05,0.8326279491186142,0.6230890905346314,1028732.0
275,2.2,0.9358,0.77734375,1.7915900855335506e-05,0.802995179593563,0.7419274064894126,1046158.0
280,2.24,0.8989,1.125,1.6287011003719103e-05,0.8235816724598408,0.6603126615475048,1065181.0
285,2.2800000000000002,0.6887,0.9140625,1.4721239553795485e-05,0.860310310870409,0.5435194234916707,1085544.0
290,2.32,0.9524,1.234375,1.3221517986702248e-05,0.8139914311468601,0.693306198103528,1106079.0
295,2.36,0.8173,1.078125,1.1790654123137552e-05,0.8043587751686573,0.7205068252849742,1125055.0
300,2.4,0.8432,0.9609375,1.0431326866479457e-05,0.8399757571518421,0.6051670941822522,1145571.0
305,2.44,1.0181,1.09375,9.146081187268185e-06,0.783491113781929,0.7746557760532596,1163631.0
310,2.48,0.8437,1.0859375,7.937323358440935e-06,0.8066941693425178,0.6646504549018573,1181837.0
315,2.52,0.7305,0.99609375,6.807316450240425e-06,0.822975380718708,0.5674286570138065,1201110.0
320,2.56,0.964,1.125,5.758176093231293e-06,0.8156687140464782,0.6463070475001587,1221511.0
325,2.6,0.8305,1.21875,4.7918665173574905e-06,0.8143374010920524,0.7132283202154213,1239752.0
330,2.64,0.9436,1.03125,3.910196874455896e-06,0.8025219045579434,0.7036253475103876,1258783.0
335,2.68,0.7957,1.078125,3.114817851111662e-06,0.8093482248485089,0.6858943000923319,1276097.0
340,2.7199999999999998,0.9442,0.984375,2.4072185781965238e-06,0.7948635339736938,0.6811524628647021,1294699.0
